latitude,longitude,altitude,geometry,comparison,type
47.711734,13.6230598,,Point,18.4119526395,POW_CHRISTIAN
47.3972011,8.4490973,,Point,18.4119526395,SHOP_CLOTHES
50.8370737,12.9176766,,Point,18.4390889146,FOOD_FASTFOOD
47.3969703,8.4477747,,Point,18.4390889146,SHOP_DEPARTMENTSTORE
47.3968071,8.4477987,,Point,18.4390889146,SHOP_CONVENIENCE
47.7118994,13.6243586,,Point,18.4390889146,TOURIST_MEMORIAL
49.8307711,18.2868382,,Point,18.4661853126,HEALTH_PHARMACY
50.6917638,4.2057814,,Point,18.4661853126,TRANSPORT_STATION
50.6917779,4.2056076,,Point,18.4661853126,TRANSPORT_STATION
51.5058623,7.4508817,,Point,18.4661853126,FOOD_RESTAURANT
50.6917535,4.2058358,,Point,18.4932420089,TRANSPORT_STATION
50.6925243,4.2052433,,Point,18.4932420089,FOOD_RESTAURANT
47.7124159,13.6228405,,Point,18.4932420089,HEALTH_DOCTORS
47.7124914,13.6231781,,Point,18.4932420089,FOOD_CAFE
47.7123916,13.6228686,,Point,18.4932420089,SHOP_JEWELRY
50.6923696,4.205644,,Point,18.4932420089,FOOD_CAFE
48.1460035,16.9425064,,Point,18.4932420089,TOURIST_MONUMENT
50.6925552,4.2051921,,Point,18.4932420089,SHOP_BUTCHER
48.1462317,16.9423866,,Point,18.4932420089,EDUCATION_SCHOOL
50.6926316,4.2050412,,Point,18.4932420089,SHOP_CONVENIENCE
48.1462727,16.9425056,,Point,18.4932420089,EDUCATION_SCHOOL
47.7122022,13.6229417,,Point,18.4932420089,FOOD_RESTAURANT
47.7125306,13.6227852,,Point,18.4932420089,SHOP_DEPARTMENTSTORE
47.7122815,13.6229169,,Point,18.4932420089,SHOP_DEPARTMENTSTORE
51.8531577,8.2867372,,Point,18.5202591775,SHOP_CONVENIENCE
43.3879699,-1.6627701,,Point,18.5202591775,SHOP_CLOTHES
48.062615,12.2348154,,Point,18.5202591775,EDUCATION_SCHOOL
51.5055469,7.4514977,,Point,18.5202591775,SHOP_FLORIST
49.9646089,14.0678063,,Point,18.5202591775,TOURIST_CINEMA
48.908778,2.2468732,,Point,18.547236991,FOOD_BAR
43.3856965,-1.6614954,,Point,18.547236991,SHOP_BICYCLE
39.8935759,32.876994,,Point,18.547236991,FOOD_RESTAURANT
48.8555587,16.0547099,,Point,18.547236991,FOOD_RESTAURANT
50.6922155,4.2058173,,Point,18.574175621,SHOP_NEWSPAPER
49.3873908,11.3582509,,Point,18.574175621,FOOD_RESTAURANT
50.6934492,4.202802,,Point,18.574175621,EDUCATION_SCHOOL
49.3072278,12.8411257,,Point,18.6010752377,SHOP_BAKERY
49.9646511,14.0706146,,Point,18.6010752377,AMENITY_POSTOFFICE
49.9642638,14.0694733,,Point,18.6010752377,SPORT_LEISURECENTER
51.5060279,7.4508513,,Point,18.6010752377,HEALTH_PHARMACY
47.7785436,10.6189669,,Point,18.6010752377,FOOD_CAFE
50.8380498,4.406581,,Point,18.6010752377,MONEY_BANK
49.9640292,14.0694706,,Point,18.6279360102,HEALTH_HOSPITAL
48.4590843,10.2769133,,Point,18.6279360102,FOOD_RESTAURANT
44.8534342,-0.5671393,,Point,18.6547581062,SHOP_BICYCLE
43.3382478,3.2149323,,Point,18.6547581062,TOURIST_MUSEUM
47.7102872,13.6215177,,Point,18.6547581062,FOOD_CAFE
53.5585658,13.2679975,,Point,18.6547581062,FOOD_FASTFOOD
47.7104583,13.6215662,,Point,18.6547581062,SHOP_BOOK
44.8533914,-0.5671903,,Point,18.6547581062,FOOD_RESTAURANT
48.9147863,2.2746688,,Point,18.6815416923,SHOP_HAIRDRESSER
47.7102554,13.6218037,,Point,18.6815416923,FOOD_RESTAURANT
49.3882205,11.353984,,Point,18.6815416923,HEALTH_DOCTORS
48.9627985,10.1306328,,Point,18.6815416923,FOOD_RESTAURANT
45.0413192,3.8821551,,Point,18.6815416923,FOOD_BAR
48.9145582,2.2743338,,Point,18.6815416923,HEALTH_PHARMACY
50.2065936,15.8335451,,Point,18.6815416923,EDUCATION_SCHOOL
49.1876367,16.5945033,,Point,18.7082869339,SHOP_SHOES
50.6916881,4.2040064,,Point,18.7082869339,SHOP_CLOTHES
46.9513453,4.2999682,,Point,18.7082869339,FOOD_FASTFOOD
47.3960965,8.4482396,,Point,18.7349939952,FOOD_RESTAURANT
45.0427991,3.8880547,,Point,18.7349939952,SHOP_BAKERY
47.3963738,8.4482025,,Point,18.7349939952,FOOD_RESTAURANT
50.4589533,3.9560081,,Point,18.7349939952,SHOP_DEPARTMENTSTORE
48.0631995,12.2293178,,Point,18.7616630393,EDUCATION_SCHOOL
54.8973421,23.9015185,,Point,18.7616630393,POW_CHRISTIAN
52.0808861,5.1244917,,Point,18.7616630393,FOOD_RESTAURANT
49.1910663,16.5927119,,Point,18.7616630393,POI_CRANE
47.7114686,13.624432,,Point,18.7616630393,AMENITY_POSTOFFICE
47.3970631,8.4477619,,Point,18.7616630393,SHOP_HAIRDRESSER
49.9637774,14.0695432,,Point,18.7616630393,HEALTH_PHARMACY
51.5052756,7.4515052,,Point,18.7616630393,SHOP_SUPERMARKET
39.7180315,2.9115108,,Point,18.7616630393,SHOP_DEPARTMENTSTORE
53.519945,8.1193986,,Point,18.7882942281,AMENITY_COURT
51.9660916,7.6348467,,Point,18.7882942281,LANDUSE_GRASS
49.1908317,16.5927466,,Point,18.7882942281,FOOD_RESTAURANT
51.5060929,7.4513447,,Point,18.7882942281,SHOP_SUPERMARKET
43.427223,6.76709,,Point,18.7882942281,SHOP_BAKERY
53.5202247,8.1198116,,Point,18.7882942281,AMENITY_COURT
49.1873282,16.5941921,,Point,18.8148877222,AMENITY_LIBRARY
48.4591903,10.2762967,,Point,18.8148877222,SHOP_SUPERMARKET
49.1871967,16.5943262,,Point,18.8148877222,FOOD_RESTAURANT
47.4739174,-0.5593535,,Point,18.8148877222,SHOP_HAIRDRESSER
47.4738157,-0.5593935,,Point,18.8148877222,FOOD_BAR
50.6916428,4.2039551,,Point,18.8148877222,SHOP_CLOTHES
53.5220199,8.118758,,Point,18.8148877222,TOURIST_THEATRE
47.0939587,5.4960155,,Point,18.8414436814,SHOP_DEPARTMENTSTORE
47.0938849,5.4961294,,Point,18.8414436814,SHOP_CONVENIENCE
47.0939962,5.4960896,,Point,18.8414436814,SHOP_CLOTHES
47.0942244,5.4958611,,Point,18.8414436814,FOOD_RESTAURANT
47.7121248,13.6241016,,Point,18.8414436814,HEALTH_DENTIST
48.0897875,-4.3301849,,Point,18.8414436814,SHOP_CONVENIENCE
47.0939302,5.4963843,,Point,18.8414436814,FOOD_RESTAURANT
48.0627976,12.2346537,,Point,18.8414436814,FOOD_CAFE
47.0941614,5.4963443,,Point,18.8414436814,MONEY_BANK
47.0939072,5.4963524,,Point,18.8414436814,SHOP_BAKERY
45.8071618,9.0885446,,Point,18.8414436814,AMENITY_PUBLICBUILDING
47.0939216,5.4962187,,Point,18.8414436814,SHOP_BAKERY
47.0940383,5.4964351,,Point,18.8414436814,SHOP_TOBACCO
45.0428865,3.888211,,Point,18.8414436814,ACCOMMO_HOTEL
47.7123956,13.6239625,,Point,18.8414436814,EDUCATION_SCHOOL
48.173773,6.4455534,,Point,18.8414436814,ACCOMMO_HOTEL
48.0641417,12.2335565,,Point,18.8679622641,EDUCATION_NURSERY
39.7180913,2.9113606,,Point,18.8679622641,FOOD_CAFE
47.5670768,9.1033337,,Point,18.8679622641,TRANSPORT_STATION
47.567116,9.1033666,,Point,18.8679622641,TRANSPORT_STATION
48.9086757,2.246946,,Point,18.8679622641,SHOP_DEPARTMENTSTORE
49.6080806,6.5509639,,Point,18.8679622641,FOOD_CAFE
49.1375037,8.9103949,,Point,18.8679622641,TOURIST_MUSEUM
48.9084622,2.2470233,,Point,18.8679622641,SHOP_LAUNDRETTE
51.8538793,8.2856382,,Point,18.8679622641,AMENITY_PUBLICBUILDING
51.4583124,6.9789965,,Point,18.8944436277,FOOD_RESTAURANT
47.4738778,-0.5595187,,Point,18.8944436277,FOOD_CAFE
51.0547878,13.727627,,Point,18.8944436277,FOOD_ICECREAM
47.7129226,13.620655,,Point,18.8944436277,FOOD_CAFE
41.8969515,12.5118208,,Point,18.8944436277,FOOD_ICECREAM
47.3965269,8.4481985,,Point,18.9208879284,SHOP_JEWELRY
49.3076584,12.8413663,,Point,18.9208879284,HEALTH_PHARMACY
49.30776,12.8419769,,Point,18.9208879284,SHOP_LAUNDRETTE
49.308042,12.8419114,,Point,18.9208879284,SHOP_LAUNDRETTE
49.8296438,18.280719,,Point,18.9208879284,SHOP_CLOTHES
49.3076074,12.8417637,,Point,18.9208879284,SHOP_CLOTHES
51.506265,7.4512899,,Point,18.9208879284,FOOD_RESTAURANT
48.1586858,14.0176528,,Point,18.9208879284,AMENITY_FIRESTATION
50.2375216,11.3241655,,Point,18.9208879284,HEALTH_PHARMACY
53.5213777,8.1191232,,Point,18.9208879284,MONEY_BANK
49.1377225,8.9093917,,Point,18.9472953215,FOOD_RESTAURANT
50.69302,4.204696,,Point,18.9472953215,POI_TOWN
49.1871142,16.5946836,,Point,18.9472953215,TRANSPORT_TRAMSTOP
47.3961956,8.4476643,,Point,18.9472953215,AMENITY_POLICE
47.3971469,8.4478017,,Point,18.9472953215,FOOD_CAFE
